iso,written,corrected
EGY,Al Aiyat,alayyat
EGY,Al-Saff region,assaff
EGY,Beni Soueif,benisouef
EGY,Beni Soueif Region,benisouef
EGY,Beni-Soueif governorate,benisouef
EGY,Helwane,helwan
EGY,Manfalout,manfalut
EGY,Near Manfalout,manfalut
EGY,Ras Sedr,rassidr
EGY,Sadata,sadat
ETH,Benshangul-Gumuz,benshangulgumaz
ETH,Haregele,hargele
ETH,Kalafo,kelafo
ETH,Kprahe,korahe
ETH,Near Libo-Kemke,libokemkem
ETH,Southern Nation Nationalities,southernnationsnationalities
FRA,Charentes Departments,charente
FRA,Haure-Savoie,hautesavoie
GBR,Bigin Hill,bigginhill
GEO,Kvemo Kartii district,kvemokartli
GEO,Tsalendjikha district,tsalenjikha
GHA,Asekuma Odoben Brakwa,asikumaodobenbrakwa
GHA,Bawku M.,bawku
GHA,Komenda Edina Eguafo Abrem,komendaedinaeguafoabirem
GHA,Talensi N,talensi
GIN,Balandougoubal,balandougouba
GIN,Conakri,conakry
GNB,Bissay City,bissau
GNB,Quinira,quinara
GNB,Tombalia,tombali
GRC,Aguistri Isl.,agistri
GRC,Cretes,crete
GRC,Ionians Isl.,ionian
GRC,Near Cretes,crete
GTM,Chamaltenango area,chimaltenango
GTM,Chinaltenango,chimaltenango
GTM,El Progresso,elprogreso
GTM,Jutlapa,jutiapa
GTM,Ratalhuleu,retalhuleu
GTM,Sacatepeguez,sacatepequez
GUM,Taimuning,tamuning
HND,Cholima,choloma
HND,El Progresso,elprogreso
HTI,Grand Riviare du Nord,grandrivieredunord
HTI,Jeremlie,jeremie
HTI,Port-au-Pince,portauprince
HTI,Port-de-Pauix,portdepaix
HUN,Gyor Monson Sopron,gyormosonsopron
IDN,Bangkejeren,blangkejeren
IDN,Cilicap district,cilacap
IDN,Gresick,gresik
IDN,Grobongan,grobogan
IDN,Lhoksemawe,lhokseumawe
IDN,Majalenga,majalengka
IDN,Masalembo Isl.,masalembu
IDN,Mauraba,mauramba
IDN,Nusa Tenggara Timor,nusatenggaratimur
IDN,Paletoang,paleteang
IDN,Pandelang District,pandeglang
IDN,Parasanga,parsanga
IDN,Pesisir Selaten,pesisirselatan
IDN,Piddie,pidie
IDN,Rajabassa,rajabasa
IDN,Woosobo,wonosobo
IND,Andhra Prasdesh,andhrapradesh
IND,Bengalore,bangalore
IND,Gajapathi,gajapati
IND,Gwaltior,gwalior
IND,Kalhandi,kalahandi
IND,Madhya Prasdesh,madhyapradesh
IND,Maduri,madurai
IND,Madya Pradesh,madhyapradesh
IND,Mayurbhang,mayurbhanj
IND,Mizorem,mizoram
IND,Murshidabab district,murshidabad
IND,Near Vijaywada,vijayawada
IND,Raigarth,raigarh
IND,Ramanathapurum,ramanathapuram
IND,Tami Nadu,tamilnadu
IND,Tami Nadu state,tamilnadu
IND,Uttarkhand state,uttarakhand
IND,Vishakhapatam,vishakhapatnam
IND,West Bangal,westbengal
IND,West Begal,westbengal
IRN,Andimechk region,andimeshk
IRN,Bachtaran,bakhtaran
IRN,Bahbahan,behbahan
IRN,Boroujerd,borujerd
IRN,Boushehr,bushehr
IRN,Buchehr,bushehr
IRN,Damaghan,damghan
IRN,Damavond,damavand
IRN,Ferdow,ferdows
IRN,Gillan,gilan
IRN,Gonobad area,gonabad
IRN,Khoram Abad,khorramabad
IRN,Khouzestan,khuzestan
IRN,Khouzestan provinces,khuzestan
IRN,Langroud,langrud
IRN,Macshhad,mashhad
IRN,Near Behchahr,behshahr
IRN,Near Korramabad,khorramabad
IRN,Near Maschad,mashhad
IRN,Near Oroumiyeh,orumiyeh
IRN,Near Sardacht,sardasht
IRN,Oroumiyeh,orumiyeh
IRN,Poldakhtar cities,poldokhtar
IRN,Roudan,rudan
IRN,Samirom region,semirom
IRN,Shoushtar,shushtar
IRN,Somesara,someesara
IRQ,Nassiriyah,nasiriyah
IRQ,Near Diwanijah,diwaniyah
IRQ,Wassit provinces,wasit
ISL,Olafsfjfordur,olafsfjordur
ISR,Jeresalem,jerusalem
ITA,Carmons,cormons
ITA,Castellanata,castellaneta
ITA,Manfradonia,manfredonia
ITA,Novarra,novara
ITA,Pascara,pescara
ITA,Senigalia,senigallia
ITA,near Arigente,agrigente
JAM,Trehawny,trelawny
JPN,Fukuchiama,fukuchiyama
JPN,Fukuoaka prefectures,fukuoka
JPN,Hokkaiso Isl.,hokkaido
JPN,Marioka,morioka
JPN,Muruto,muroto
JPN,Niigita,niigata
JPN,Shizuoaka,shizuoka
KAZ,Kurchumsky,kurchumskiy
KAZ,Ulansky,ulanskiy
KEN,Mandea,mandera
KEN,Murunga district,muranga
KEN,Roongo,rongo
KEN,West Poko,westpokot
KGZ,Jala-Abad,jalalabad
KHM,Kampong Spen,kampongspeu
KOR,Gyeongiu,gyeongju
KOR,Gyeongu,gyeongju
KOR,Kangwon-Don,kangwondo
KOR,Kanwon Do,kangwondo
LAO,Atsaphon district,atsaphone
LAO,Borlikhamxay,bolikhamxay
LAO,Luanprabang,luangprabang
LBN,Qalmoun,qalamoun
LBY,Az Zawia provinces,azzawiya
LBY,Zawija,zawiya
LCA,Castries-B,castries
LKA,Battocaloa,batticaloa
LKA,Gampaka,gampaha
LKA,Kamunai districts,kalmunai
LKA,Kegalce,kegalle
LKA,Nuwera Eliya,nuwaraeliya
LKA,Puttlam,puttalam
LKA,Rathnapura,ratnapura
LKA,Tricomalee,trincomalee
LKA,Vavuniy districts,vavuniya
MAR,Chefchaoun,chefchaouen
MAR,Essaouirra,essaouira
MAR,Imouzzer-Handar,imouzzerkandar
MAR,Near Aïn Harrounda,ainharrouda
MAR,Near Guelmin,guelmim
MAR,Tetsuan province,tetouan
MDA,Calaras,calarasi
MDA,Calarashi,calarasi
MDA,Unghni,ungheni
MDG,Alaotra Mangora,alaotramangoro
MDG,Ambiloe,ambilobe
MDG,Ampaniy,ampanihy
MDG,Bamanevika,bemanevika
MDG,Morondova,morondava
MDG,Toamisina,toamasina
MDG,Tomasina province,toamasina
MDG,Tsiroanomandity,tsiroanomandidy
MDG,Vaingaindrano,vangaindrano
MDG,Vakinakaratra,vakinankaratra
MDG,Vakinankarata,vakinankaratra
MDG,Vangaidrano,vangaindrano
MEX,Chichuahua,chihuahua
MEX,Gudalajara,guadalajara
MEX,San Joaquim,sanjoaquin
MEX,San Luis Pontosi,sanluispotosi
MEX,Sinalda province,sinaloa
MEX,Sinoloa State,sinaloa
MEX,Tamaulpas,tamaulipas
MEX,Tampulipas,tamaulipas
MEX,Teotitlan de Flores Magan areas,teotitlandefloresmagon
MEX,Veracrur,veracruz
MKD,Bosilevo districts,bosilovo
MKD,Kumanavo,kumanovo
MKD,Kumanavo cities,kumanovo
MKD,Suto Orizarei,sutoorizari
MLI,Koulikorou,koulikoro
MLI,Tombuctou,tombouctou
MMR,Arrakan,arakan
MMR,Meikthila,meiktila
MMR,Yamenthin district,yamethin
MOZ,Cano Delgado,cabodelgado
MOZ,Zambesia,zambezia
MRT,Boutilinit,boutilimit
MRT,Kandossa,kankossa
MWI,Nasanje,nsanje
MYS,Sarikey,sarikei
NER,Madarounda,madarounfa
NER,Madoua,madaoua
NER,Madoua districts,madaoua
NER,Miradi,maradi
NER,Tahqua,tahoua
NER,Tillaberib,tillaberi
NER,Tilleberi,tillaberi
NGA,Akawa Ibom,akwaibom
NGA,Amambra,anambra
NGA,Ebonyl,ebonyi
NGA,Ikorudu,ikorodu
NGA,Jogawa,jigawa
NGA,Kaduma,kaduna
NGA,Laogos,lagos
NIC,Corazo,carazo
NPL,Accham,achham
NPL,Kanchampur,kanchanpur
NPL,Kavrepalan-chowk,kavrepalanchok
NPL,Kavrepalanchowk,kavrepalanchok
NPL,Mahottaari,mahottari
NPL,Markwanpur,makwanpur
NPL,Pantchthar,panchthar
NPL,Pyunthan,pyuthan
NPL,Rautahar,rautahat
NPL,Sariahi,sarlahi
NPL,Sharlahi,sarlahi
NPL,Soluklumbu,solukhumbu
NPL,Sunsaro,sunsari
NZL,Invercargil,invercargill
OMN,Al Dakhiliyah,addakhiliyah
OMN,Al Dhahirah,aldhahira
PAK,Abottabad,abbottabad
PAK,Blochistan,balochistan
PAK,Khyber Pakhtunkawa,khyberpakhtunkhwa
PAK,Near Nawasbshah,nawabshah
PAK,Pashawar,peshawar
PAN,Los Santo province,lossantos
PAN,San Miguelit,sanmiguelito
PER,Acpbamba,acobamba
PER,Albancay,abancay
PER,Calleo,callao
PER,Huanugo provinces,huanuco
PER,Huaochiri,huarochiri
PER,Huarez,huaraz
PER,Loretto department,loreto
PER,Moyoyamba,moyobamba
PER,Near Punta Hermoza,puntahermosa
PER,Nueva Cajamarea,nuevacajamarca
PER,Sans Martin,sanmartin
PER,Victoc,vitoc
PHL,Barangas,batangas
PHL,Camatines Sur,camarinessur
PHL,Cantanduanes,catanduanes
PHL,Guiayangan,guinayangan
PHL,Ilailo,iloilo
PHL,Ilocios Sur,ilocossur
PHL,La Cariota,lacarlota
PHL,Languindingan,laguindingan
PHL,Marippi Isl.,maripipi
PHL,Massara,masara
PHL,Near Bisling,bislig
PHL,Nueva Viscaya,nuevavizcaya
PHL,Nueva Viscayas provinces,nuevavizcaya
PHL,Pagbileo,pagbilao
PHL,Papoay,paoay
PHL,Quenzon,quezon
PHL,Zaboanga city,zamboanga
PHL,Zamboaga city,zamboanga
PNG,Hengonofi area,henganofi
PNG,Southern higlands,southernhighlands
PNG,Telefumin,telefomin
POL,Malopolske,malopolskie
POL,Opolski,opolskie
PRI,Nagabo,naguabo
PRK,Huichun,huichon
PRK,Jongpyong,jonpyong
PRK,Ryangang provinces,ryanggang
PRT,Castel Branco,castelobranco
PRT,Near Vila Velha do Rodao,vilavelhaderodao
PRY,Amabay,amambay
PRY,Boqueon,boqueron
PRY,Neembuco,neembucu
ROU,Hundedoara,hunedoara
ROU,Hundoara,hunedoara
ROU,Near Galatzi,galati
ROU,Orosova area,orsova
ROU,Vaskui,vaslui
RUS,Arkhanguelsk,arkhangelsk
RUS,Bachkortostan,bashkortostan
RUS,Bashkortosan,bashkortostan
RUS,Blagoveshchansk,blagoveshchensk
RUS,Kamchatkam,kamchatka
RUS,Kaspiisk,kaspiysk
RUS,Khavarovsk region,khabarovsk
RUS,Magadam,magadan
RUS,Sibary,sibay
RUS,Tartarstan,tatarstan
RUS,Ulyanosk,ulyanovsk
RUS,Volgograde region,volgograd
RUS,Volgorgrad,volgograd
RUS,Yaroslovl,yaroslavl
RUS,near Prokopievsk,prokopevsk
RWA,Kubuga,kabuga
RWA,Mwiulire region,mwulire
SAU,Najrane,najran
SDN,Aj Jazirah,aljazirah
SDN,Gazira,gezira
SDN,Near Al-Gutayna,algutaina
SDN,Near El Kamlien,elkamlin
SDN,North Dafur State,northdarfur
SDN,Um-Sayala,ummsayala
SDN,While Nile,whitenile
SDN,White Nil,whitenile
SEN,Makayopp,makayop
SEN,Tivaoune,tivaouane
SLB,Guadacanal,guadalcanal
SLB,Utupia,utupua
SLE,Kenuma,kenema
SLE,Porto LOko,portloko
SLV,Illobasco,ilobasco
SLV,Usulatan,usulutan
SOM,Belet Hawo,belethawa
SOM,Boroma,borama
SOM,Jalalaxsi,jalalaqsi
SOM,Lower Shabelle,lowershabele
SOM,Middle,middlej
SOM,Nugall,nugaal
SOM,Toghdheer,togdheer
SRB,Para?in,paracin
STP,Aguas Grande,aguagrande
SVN,Bojinj,bohinj
SVN,Jugovzodna Slovenija,jugovzhodnaslovenija
SYR,Al-Hassakeh,alhassake
SYR,Ar-Raqqa,arraqqah
TCD,Aboudea,aboudeia
TCD,Aboudia,aboudeia
TCD,Bebeto,beboto
TCD,Bébidjia,bebedjia
TCD,Flanga,fianga
TCD,Mangaime,mangalme
TCD,Moyen-Char,moyenchari
TCD,Wadi Fara,wadifira
TGO,Aflao-Gakali,aflaogakli
TGO,Amoutieve,amoutive
TGO,Soutouboua,sotouboua
THA,Ayudhaya,ayudhya
THA,Nakhov Ratchasima,nakhonratchasima
THA,Nakkhon Si Thammarat,nakhonsithammarat
THA,Phangnaga,phangnga
THA,Samut Pakan province,samutprakan
THA,Ubol Ratchathani Provinces,ubonratchathani
TJK,Farhor,farkhor
TJK,Jilikkul,jilikul
TJK,Rudaky,rudaki
TKL,Nukunono,nukunonu
TUN,Kairoun,kairouan
TUR,Antalaya,antalya
TUR,Diyarbajir,diyarbakir
TUR,Dursunvey,dursunbey
TUR,Erzican,erzincan
TUR,Erzican province,erzincan
TUR,Erzunum Province,erzurum
TUR,Gazantep,gaziantep
TUR,Gazientep,gaziantep
TUR,Hundek,hendek
TUR,Kastomonu,kastamonu
TUR,Near Sonkaya,senkaya
TUR,Near Trabson,trabzon
TUR,Near Zonduldak,zonguldak
TUV,Vaitupo Isl.,vaitupu
TWN,Hsinch,hsinchu
TWN,Near Kach Siung,kaohsiung
TWN,Pintung,pingtung
TZA,Bagamovo,bagamoyo
TZA,Kilewa district,kilwa
TZA,Mondulli region,monduli
TZA,Mucheza,muheza
TZA,Pembar,pemba
UGA,Lupulingi,lopulingi
UGA,Panymur,panyimur
UGA,Ruunga,ruhunga
UKR,Lougansk,lugansk
UKR,Uzhgoro districts,uzhgorod
URY,Cero Largo,cerrolargo
USA,Arkanasas,arkansas
USA,Arkensas,arkansas
USA,Iadaho,idaho
USA,Indianaa,indiana
USA,Indiania,indiana
USA,Kittias,kittitas
USA,Lousiana,louisiana
USA,Massachussetts,massachusetts
USA,Michgigan,michigan
USA,Minnessota,minnesota
USA,Missisippi,mississippi
USA,Missourri,missouri
USA,Montania,montana
USA,New Halpshire,newhampshire
USA,New Hamshire,newhampshire
USA,New Yprk,newyork
USA,North Caroline,northcarolina
USA,Ohlahoma,oklahoma
USA,Okhahoma,oklahoma
USA,Okhlahoma,oklahoma
USA,Soith Carolina,southcarolina
USA,South Caroline,southcarolina
USA,South Dacota,southdakota
USA,Virgina,virginia
VEN,Langunillas,lagunillas
VEN,Yaracury,yaracuy
VNM,Hoa They,hoathuy
VNM,Hoi Nan,hoian
VNM,Kien Gang,kiengiang
VNM,Kon Tun provinces,kontum
YEM,Abyane province,abyan
YEM,Al Bayada,albayda
YEM,Al Dhale's,aldhalee
YEM,Al-Dhale,aldhalee
YEM,Al-Dhale',aldhalee
YEM,Amamat Al Asimah,amanatalasimah
YEM,Hadramout,hadhramout
YEM,Haijah,hajjah
YEM,Near Dhoubab,dhubab
ZAF,Stellenbosh,stellenbosch
ZMB,Chiegi Districts,chiengi
ZMB,Kapiri Mphoshi,kapirimposhi
ZMB,Linvingstone,livingstone
ZMB,Mulfulira,mufulira
ZWE,Chegetu,chegutu
