country,country_code,requested
United States,USA,true
Uzbekistan,UZB,true
St. Vincent and the Grenadines,VCT,true
"Venezuela, RB",VEN,true
British Virgin Islands,VGB,true
Virgin Islands (U.S.),VIR,true
Viet Nam,VNM,true
Vanuatu,VUT,true
World,WLD,false
Samoa,WSM,true
Kosovo,XKX,true
Sub-Saharan Africa excluding South Africa and Nigeria,XZN,false
"Yemen, Rep.",YEM,true
South Africa,ZAF,true
Zambia,ZMB,true
Zimbabwe,ZWE,true
